DATE,DBS_Return,SPH_Return,GE_Return,SIA_Return
3/1/2015,0.0506,0,0.0301,0.0209
4/1/2015,-0.0375,0.0095,-0.0103,-0.0697
5/1/2015,0.0192,-0.0192,-0.0156,-0.0546
6/1/2015,-0.0101,0.0245,-0.0554,0.0009
7/1/2015,-0.1199,-0.0574,-0.0983,-0.0605
8/1/2015,-0.0873,-0.0254,0.0235,0.0786
9/1/2015,0.0654,0.0391,0.0023,0.0093
10/1/2015,-0.0446,0.0075,-0.0056,-0.05
11/1/2015,0.0115,0.0124,-0.0466,0.1024
12/1/2015,-0.1576,-0.0964,-0.0094,-0.0152
1/1/2016,-0.0341,0.0449,0.0484,0.0544
2/1/2016,0.1326,0.0753,0.0699,-0.0181
3/1/2016,-0.0065,0.015,0.0133,0.007
4/1/2016,0.034,-0.032,-0.0309,-0.0713
5/1/2016,0.0168,0.0233,-0.0508,-0.0019
6/1/2016,-0.0222,-0.043,0.0696,0.03
